Wavelength,Intensity
930.00,1.51,0.00
931.02,1.50,0.00
932.05,1.42,0.00
932.94,1.33,0.00
933.97,1.34,0.00
935.00,1.33,0.00
936.02,1.23,0.00
937.05,1.20,0.00
937.94,1.22,0.00
938.97,1.16,0.00
940.00,1.23,0.00
941.02,1.27,0.00
942.05,1.12,0.00
942.94,1.15,0.00
943.97,1.11,0.00
945.00,1.05,0.00
946.02,0.96,0.00
947.05,1.03,0.00
947.94,0.89,0.00
948.97,0.88,0.00
950.00,0.91,0.00
951.01,1.08,0.00
952.02,0.97,0.00
953.03,0.97,0.00
954.05,0.73,0.00
955.06,0.84,0.00
955.94,0.75,0.00
956.96,0.73,0.00
957.97,0.73,0.00
958.98,0.72,0.00
960.00,0.72,0.00
961.01,0.75,0.00
962.02,0.69,0.00
963.03,0.63,0.00
964.05,0.52,0.00
965.06,0.64,0.00
965.94,0.58,0.00
966.96,0.56,0.00
967.97,0.61,0.00
968.98,0.50,0.00
970.00,0.58,0.00
971.00,0.55,0.00
972.00,0.43,0.00
973.00,0.51,0.00
974.00,0.58,0.00
975.00,0.49,0.00
976.00,0.52,0.00
977.00,0.56,0.00
978.00,0.56,0.00
979.00,0.44,0.00
980.00,0.43,0.00
981.00,0.53,0.00
982.00,0.45,0.00
983.00,0.43,0.00
984.00,0.43,0.00
985.00,0.39,0.00
986.00,0.48,0.00
987.00,0.44,0.00
988.00,0.48,0.00
989.00,0.45,0.00
990.00,0.44,0.00
991.00,0.46,0.00
992.00,0.44,0.00
993.00,0.35,0.00
994.00,0.54,0.00
995.00,0.44,0.00
996.00,0.45,0.00
997.00,0.37,0.00
998.00,0.41,0.00
999.00,0.33,0.00
1000.0,0.32,0.00
